"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]",,
"//N","CloudLinux OS","#005DB4",,"2010.01",,,"https://distroware.gitlab.io/os/Linux/c/cloudlinux",,,,,,,,,
"#N","FrameOS","#000","Red Hat","2010.7.15",,,"http://www.frameos.org/",,,,,,,,,
"N","ServOS","#4b78a7","Red Hat","2011.7",,,"https://distroware.gitlab.io/os/Linux/s/servos",,,,,,,,,
,,,,,,,,,,,,,,,,
"N","Jurix","#9f9f9f",,"1995.2.8","1997",,"https://distroware.gitlab.io/os/Linux/j/jurix",,,,,,,,,
"N","S.u.S.E Linux","#4bb679","Jurix","1996.5",,,"https://distroware.gitlab.io/os/Linux/o/opensuse","SuSE Linux","1998.12.21","https://distroware.gitlab.io/os/Linux/o/opensuse","SUSE Linux","2003.10.15","https://distroware.gitlab.io/os/Linux/o/opensuse","openSUSE","2006.12.7","https://distroware.gitlab.io/os/Linux/o/opensuse"
"N","SUSE Linux Enterprise Server","#7ad4aa","S.u.S.E Linux","2000.10.31",,,"https://distroware.gitlab.io/os/Linux/s/suse",,,,,,,,,
"N","Astaro","#ebb64c","S.u.S.E Linux","2000.1","2012.07.17",,"https://distroware.gitlab.io/os/Linux/a/astaro",,,,,,,,,
"N","Caixa Mágica","#50b9e6","S.u.S.E Linux","2000.10","2017.08.4",,"https://distroware.gitlab.io/os/Linux/c/caixa-magica",,,,,,,,,
"N","United Linux","#040404","S.u.S.E Linux","2002.11.19","2004.1.22",,"https://distroware.gitlab.io/os/Linux/u/united-linux",,,,,,,,,
"N","SCO Linux","#5ea3db","United Linux","2002.11.19","2003.05.12",,"https://distroware.gitlab.io/os/Linux/s/sco-linux",,,,,,,,,
"N","Stresslinux","#000","S.u.S.E Linux","2003.07.4","2014.11.25",,"https://distroware.gitlab.io/os/Linux/s/stresslinux",,,,,,,,,
"N","Sun JDS","#000","S.u.S.E Linux","2003.11.10","2006.5.30",,"https://distroware.gitlab.io/os/Linux/s/sun-jds",,,,,,,,,
"N","Novell Linux Desktop","#7ad4aa","S.u.S.E Linux","2004.11.8",,,"https://distroware.gitlab.io/os/Linux/s/suse","SUSE Linux Enterprise Desktop","2006.07.16","https://distroware.gitlab.io/os/Linux/s/suse",,,,,,
"//N","Linkat","#fcbe32","S.u.S.E Linux","2006.9.12",,,"https://distroware.gitlab.io/os/Linux/l/linkat",,,,,,,,,
"#N","JOPUX","#000","S.u.S.E Linux","2012.3.30",,,"http://jopux.org/",,,,,,,,,
"N","GeckoLinux","#2EE360","S.u.S.E Linux","2016.03",,,"https://distroware.gitlab.io/os/Linux/g/geckolinux",,,,,,,,,
"N","EasyNAS","#BC7B37","S.u.S.E Linux","2016.05",,,"https://distroware.gitlab.io/os/Linux/e/easynas",,,,,,,,,
"#N","Anthon",,"S.u.S.E Linux","2011.11.19","2013.1",,"http://sourceforge.net/projects/anthon/",,,,,,,,,
"#N","Keysoft","#454545","S.u.S.E Linux","2014.12.27",,,"http://keysoft.zitrotec.de",,,,,,,,,
,,,,,,,,,,,,,,,,
"N","Enoch","#a0a0f0",,"1999.12",,,"https://distroware.gitlab.io/os/Linux/g/gentoo","Gentoo","2002.3.31","https://distroware.gitlab.io/os/Linux/g/gentoo",,,,,,
"N","Ututo","#ba3232","Enoch","2000.10","2015.4.17",,"https://distroware.gitlab.io/os/Linux/u/ututo","Ututo XS","2005.6","https://distroware.gitlab.io/os/Linux/u/ututo",,,,,,
"N","Ututo-e","#d30110","Ututo","2004.3","2015.4.17",,"https://distroware.gitlab.io/os/Linux/u/ututo",,,,,,,,,
"N","Gentoox","#0050ff","Enoch","2003.3","2010.01.28",,"https://distroware.gitlab.io/os/Linux/g/gentoox",,,,,,,,,
"#N","Jollix","#ffee55","Enoch","2003.4.17","2004.5.12",,"http://jollix.berlios.de/de/",,,,,,,,,
